carat colour clarity cut cost fluorescence size certificate
0.757 	F 	VVS2 	3Ex  	431986 	Faint 	5.84-5.87x3.62 	-
0.725 	F 	VVS2 	3Ex  	419160 	None 	5.73-5.75x3.58 	GIA
0.717 	F 	VVS2 	3Ex  	409390 	Medium 	5.75-5.78x3.54 	-
0.713 	F 	VVS2 	3Ex  	407131 	None 	5.82-5.84x3.50 	-
0.705 	F 	VVS2 	3Ex  	402612 	Faint 	5.76-5.77x3.51 	-
0.702 	F 	VVS2 	3Ex  	406167 	Faint 	5.69-5.71x3.48 	GIA
0.751 	G 	VVS2 	3Ex  	411768 	Faint 	5.82-5.85x3.62 	GIA
0.706 	G 	VVS2 	3Ex  	382420 	Strong 	5.71-5.73x3.53 	-
0.613 	D 	IF 	3Ex  	556066 	None 	5.40-5.44x3.36 	GIA
0.680 	D 	VVS1 	3Ex  	462745 	Faint 	5.63-5.66x3.48 	-
0.679 	D 	VVS1 	3Ex  	448525 	Medium 	5.63-5.65x3.50 	-
0.673 	D 	VVS1 	3Ex  	444600 	Medium 	5.59-5.60x3.49 	-
0.662 	D 	VVS1 	3Ex  	437404 	Faint 	5.64-5.66x3.39 	-
0.651 	D 	VVS1 	3Ex  	430209 	None 	5.53-5.56x3.45 	-
0.646 	D 	VVS1 	3Ex  	426938 	None 	5.57-5.60x3.41 	-
0.636 	D 	VVS1 	3Ex  	420396 	Medium 	5.55-5.56x3.38 	-
0.630 	D 	VVS1 	3Ex  	416472 	None 	5.53-5.54x3.42 	-
0.624 	D 	VVS1 	3Ex  	412547 	Faint 	5.49-5.50x3.37 	-
0.620 	D 	VVS1 	3Ex  	409930 	Medium 	5.56-5.57x3.31 	-
0.614 	D 	VVS1 	3Ex  	406005 	Strong 	5.50-5.52x3.31 	-
0.614 	D 	VVS1 	3Ex  	406005 	None 	5.47-5.49x3.38 	-
0.611 	D 	VVS1 	3Ex  	404043 	Faint 	5.50-5.52x3.34 	-
0.609 	D 	VVS1 	3Ex  	402734 	None 	5.42-5.47x3.38 	sold
